Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.713612953,0,0,0,0,1,1,1,1
0.735979812,0,1,0,0,1,1,1,1
0.736359000,1,1,0,0,1,1,1,1
0.739242562,1,1,1,0,1,1,1,1
0.739274312,1,1,0,0,1,1,1,1
0.742125438,1,1,1,0,1,1,1,1
0.742157250,1,1,0,0,1,1,1,1
0.745084188,1,1,1,0,1,1,1,1
0.745116250,1,1,0,0,1,1,1,1
0.747966812,1,1,1,0,1,1,1,1
0.747998000,1,1,0,0,1,1,1,1
0.750926688,1,1,1,0,1,1,1,1
0.750958375,1,1,0,0,1,1,1,1
0.753809437,1,1,1,0,1,1,1,1
0.753840125,1,1,0,0,1,1,1,1
0.756767063,1,1,1,0,1,1,1,1
0.756799062,1,1,0,0,1,1,1,1
0.759650313,1,1,1,0,1,1,1,1
0.759681063,1,1,0,0,1,1,1,1
0.762607812,1,1,1,0,1,1,1,1
0.762639875,1,1,0,0,1,1,1,1
0.765490375,1,1,1,0,1,1,1,1
0.765521250,1,1,0,0,1,1,1,1
0.765526125,0,1,0,0,1,1,1,1
0.765534562,0,0,0,0,1,1,1,1
0.805715813,0,0,0,0,1,1,1,1
