Time [s],refr_invalid_areas,lv_timer_handler,flush_cb,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.591302440,0,0,0,0,1,1,1,1
0.613219562,0,1,0,0,1,1,1,1
0.613598125,1,1,0,0,1,1,1,1
0.620869000,1,1,1,0,1,1,1,1
0.620902625,1,1,0,0,1,1,1,1
0.629142375,1,1,1,0,1,1,1,1
0.629169437,1,1,0,0,1,1,1,1
0.638340750,1,1,1,0,1,1,1,1
0.638373625,1,1,0,0,1,1,1,1
0.648409812,1,1,1,0,1,1,1,1
0.648436812,1,1,0,0,1,1,1,1
0.659380500,1,1,1,0,1,1,1,1
0.659412750,1,1,0,0,1,1,1,1
0.671269500,1,1,1,0,1,1,1,1
0.671296438,1,1,0,0,1,1,1,1
0.683903000,1,1,1,0,1,1,1,1
0.683935625,1,1,0,0,1,1,1,1
0.697302813,1,1,1,0,1,1,1,1
0.697329938,1,1,0,0,1,1,1,1
0.705954500,1,1,1,0,1,1,1,1
0.705983563,1,1,0,0,1,1,1,1
0.706998313,1,1,1,0,1,1,1,1
0.707024437,1,1,0,0,1,1,1,1
0.707028937,0,1,0,0,1,1,1,1
0.707041625,0,0,0,0,1,1,1,1
0.776543063,0,0,0,0,1,1,1,1
